Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
11910 Garfield Ave,South Gate,CA,Multi-Family,"2,913",2 Star,"$950,000",326.12,4/12/2023,Sold,"1,150,000",3.20,3.20,,Red Carpet Pueblo Realty,,Local,,Marina Gallegos,,Local,Compass,Apartments,C,1942,5,0.13,5603,2,,SGR3*,Downey,Urban,Los Angeles,United States,North America,Americas,90280-7800,,,"7,385,686.24",169.55,,2.5,,"190,000",4/12/2023,4/20/2023,,Confirmed,Research Complete,,81,No,No,,,"185,628","79,622","265,250",2022,586,,Adequate,,,,,12311 Garfield Ave,South Gate,Victor Arizmendi,5622323005,,,Other - Private,CA,Garfield Ave,12311,Private,90280,,,,,,,,,,,,,,,,,,,,,,,,6368588,,,,0.260039635965927,,,0234092,,,06037,,,,,,Yes,B and X,0.52,,,,,,20+ Years,,,,69.98,,,,33.9183855,,"303 3rd St, 200",Aaron,Mejia,Huntington Beach,7144062880,CA,3rd St,303,,,92648-5111,,-118.168577,,,,,Los Angeles,159,,,4,1,0,,0,5,,0,,,4(1 + 1) ,,6243-016-002,6243-016-002,,1.72,100.00%,,South Gate,Los Angeles,,CA,,,,,,326.12,,Garfield Ave,11910,,,13813705,,,,,,Investment,Independent,,,,,11910 Garfield Ave,South Gate,Marina Gallegos,,,,Individual,CA,Garfield Ave,11910,Private,90280-7800,,,,,,,,,,,,,"2,913",,,,,Southeast Los Angeles,5FV       ,,,,,"On April 12th 2023, this multi-family building at 11910 Garfield Ave in South Gate, Ca sold for $950,000. The motivation behind the seller divesting and the buyer purchasing this asset is unknown at this point in time. The property was 100% leased at the time of sale.",,1(2 + 1) ,1457,,,
1018 N Marine Ave (Part of a 2 Property Sale),Wilmington,CA,Multi-Family,"2,764",2 Star,"$814,761",294.78,4/11/2023,Sold,,5.30,,Multi-Property Sale,Michael Bakhshi,,Local,"BRC Advisors -  BH, Inc.",M.D. Miguelez,,Local,"BRC Advisors -  BH, Inc.",Apartments,C,1923,6,0.06,2766,2,,LARD1.5,Wilmington,Suburban,Los Angeles,United States,North America,Americas,90744-3400,,,"12,831,160.22",294.56,,3.7,,"135,794",4/11/2023,4/10/2023,,Confirmed,Research Complete,,100,No,No,,,"43,132","35,512","78,644",2022,,,Adequate,,2022 Tax @ $215.63/Unit,,2022 Tax @ $215.63/Unit,"2008 W Carson St, 100",Torrance,Michael Bakhshi,3238350895,,W,Individual,CA,Carson St,2008,Private,90501-3242,"2008 W Carson St, 100",Torrance,1010 Marine LLC,,,CA,Carson St,2008,,W,90501,"9100 Wilshire Blvd, 880W",John,Katnik,Beverly Hills,3105253700,CA,Wilshire Blvd,9100,,,90212-3415,,6358314,,,,0.499627629190979,,,0230033,,,06037,,"1,859,650",,,Lender Name: Center Street Lndg VIII Spe LL,Yes,B and X,1.00,,,,,,20+ Years,,,,54.84,,,,33.7834424,,"9100 Wilshire Blvd, 880W",John,Katnik,Beverly Hills,3105253700,CA,Wilshire Blvd,9100,,,90212-3415,,-118.2638058,,,,,Los Angeles,1,,,2,0,0,,0,8,,0,,,2(1 + 1) ,,7420-022-009,7420-022-009,,,,,Wilmington,Los Angeles,,CA,,,,,,294.78,,Marine Ave,1018,,N,13981481,,,,,Deferred Maintenance,Investment,Independent,,,,,1821 Via Visalia,Palos Verdes Peninsula,Miguel Miguelez,3103754944,,,Individual,CA,Via Visalia,1821,Private,90274,1821 Via Visalia,Palos Verdes Estates,Miguelez M D & Doris S,,,CA,Via Visalia,1821,,,90274,,"2,764",,,,,Long Beach/Ports,6FC       ,,,,,"On April 11th, 2023 the multi-property sale at 1010-1014 N Marine and 1018 N Marine Ave in Wilmington, CA sold for $1,975,000. The seller was the 1998 Miguelez Family Trust. The buyer of the 6,700 square foot multi-family buildings was 1010 Marine, LLC. John Katnik from BRC Advisors represented both sides of this transaction. 
The details of this transaction were verified via sources deemed reliable.",,,1382,,,
790 E Orange Grove Blvd,Pasadena,CA,Multi-Family,"2,894",2 Star,"$1,400,000",483.76,4/10/2023,Sold,"1,725,000",7.20,8.80,,Andranik Gabriyelyan & Ailsa Gabriyelyan,,National,,Navid Bendavood,,Local,Global Platinum Properties,Apartments,C,1923,5,0.22,9531,1,,"R1, Pasadena",Olive Heights,Urban,Los Angeles,United States,North America,Americas,91104-4453,,,"6,398,489.14",146.89,,100.0,,"280,000",4/10/2023,4/10/2023,,Confirmed,Research Complete,,100,No,No,,,"200,000","660,000","860,000",2022,,,Needs Improvement,,,,,12456 Sonoma Dr,Pacoima,Andranik Gabrielyan,,,,Individual,CA,Sonoma Dr,12456,Private,91331,12456 Sonoma Dr,Pacoima,Andranik Gabriyelyan & Ailsa Gabriyelyan,,,CA,Sonoma Dr,12456,,,91331,,,,,,,,,,,,,6358731,,,,0.303643045042414,,,0226769,,,06037,,,,,,Yes,B and X,0.30,,,10.51,,,17 Months,,,,23.26,,,,34.1575357,,"12301 Wilshire Blvd, 207",Armin,Soleimani,Los Angeles,3106662246,CA,Wilshire Blvd,12301,,,90025-1007,,-118.1341103,,,,,Los Angeles,95,,"123,766",5,0,0,,0,3,,0,,,5(1 + 1) ,,5731-013-004,5731-013-004,,1.03,,,Pasadena,Los Angeles,,CA,,,,,,483.76,,Orange Grove Blvd,790,,E,12495044,,,,,High Vacancy Property,Investment,Independent,,,,,"8549 Wilshire Blvd, 1440",Beverly Hills,Navid Bendavood,3107797988,,,Individual,CA,Wilshire Blvd,8549,Private,90211-3104,"8549 Wilshire Blvd, 1440",Beverly Hills,Insta Properties LLC,,3107797988,CA,Wilshire Blvd,8549,,,90211-3104,,"2,894",,,,,Pasadena,4FH       ,,,,,"On 4/10/23 Insta Properties LLC sold a multifamily building in Pasadena, CA to Andranik Gabriyelyan & Ailsa Gabriyelyan for $1,400,000. The subject property totals five units and is located at 790 E Orange Grove Blvd. This was an investment transaction with the property delivered completely vacant at the time of the sale. The seller was represented by Global Platinum Properties. Both the seller and brokers confirmed the details for this transaction.",,,2894,,,
5415 Hubbard St,East Los Angeles,CA,Multi-Family,"3,720",2 Star,"$950,000",255.38,4/7/2023,Sold,"1,050,000",4.60,,,Wen Xie,,Local,,Enrique Viramontes,,Local,RE/MAX Commercial & Investment Realty,Apartments,C,1924,5,0.11,4792,2,,R3,East Los Angeles,Urban,Los Angeles,United States,North America,Americas,90022,,,"8,635,642.74",198.25,,2.5,,"190,000",4/7/2023,4/11/2023,,Confirmed,Research Complete,,99,No,No,,,"51,122","27,691","78,813",2022,,,Adequate,,2022 Tax @ $2125.00/Unit; 2022 Ops @ $1731.00/Unit,,2022 Tax @ $2125.00/Unit; 2022 Ops @ $1731.00/Unit,18519 Klum Pl,Rowland Heights,Wen Xie,6262851689,,,Individual,CA,Klum Pl,18519,Private,91748,"99 S Lake Ave, 504",Pasadena,G.V. Property Investment LLC,,,CA,Lake Ave,99,,S,91101-4701,,,,,,,,,,,,,6360384,,,,0.388179313799149,,,0221424,"950,000",,06037,,,,,,Yes,B and X,0.78,,,14.61,,,10 Months,,,,64.86,,,,34.0220574,Tract No 6944 (Ex Of St) Lot/Sec 160,"99 S Lake Ave, 504",Enrique,Viramontes,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,-118.1532971,,,,,Los Angeles,32,,"43,681",4,1,0,,0,3,,0,,,4(1 + 1) ,,6341-027-027,6341-027-027,,0.81,,,East Los Angeles,Los Angeles,,CA,90022,,,,,255.38,,Hubbard St,5415,,,12870659,,,,,,Investment,Independent,,,,,"99 S Lake Ave, 504",Pasadena,Enrique Viramontes,3232281434,,S,Individual,CA,Lake Ave,99,Private,91101-4701,550 S Hope St,Los Angeles,E P Dennison LLC,,3106956869,CA,Hope St,550,,S,90071-2627,,"3,720",,,Full,,Southeast Los Angeles,7FV       ,,,,,"This 5-unit multi-Family property sold for $190,00 per unit. The cap rate was reported at 4.60%.","1,045.00",1(2 + 1) ,1860,,,
1852-1862 N Edgemont St,Los Angeles,CA,Multi-Family,"13,760",2 Star,"$4,950,000",359.74,4/6/2023,Sold,"5,350,000",4.65,,,Man Li,,Local,Marcus & Millichap,Viktury Corp,,National,Marcus & Millichap,Apartments,B,1937,12,0.47,20477,2,,LARD1.5,Los Feliz,Urban,Los Angeles,United States,North America,Americas,90027-4104,,,"10,529,960.44",241.74,,3.4,,"412,500",4/6/2023,4/13/2023,,Confirmed,Research Complete,,86,No,No,"Courtyard, Vintage Building",,"1,066,944","2,102,356","3,169,300",2022,,,Adequate,Wood Frame,,,,22851 Calvert St,Woodland Hills,Man Li,3104971335,,,Individual,CA,Calvert St,22851,Private,91367,22851 Calvert St,Woodland Hills,"AJL Realty, LLC",,,CA,Calvert St,22851,,,91367,"16830 Ventura Blvd, 100",Rick,Raymundo,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6361358,,,Wood Frame,0.499243296988473,,,0218546,"4,950,000",None,06037,,,,,,Yes,B and X,0.67,,,13.59,"357,859",,47 Months,,,,33.67,,,,34.1050108,Lots 4-5 Trct 3285 Bk 34 Pg 72,"16830 Ventura Blvd, 100",Rick,Raymundo,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,None,-118.2958287,,,,,Los Angeles,73,,"230,175",4,8,0,,0,18,,0,1,,4(1 + 1) ,,5589-031-030,5589-031-031,,1.31,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,359.74,,Edgemont St,1852-1862,,N,5633517,,,,,,Investment,Independent,,,,,31878 Del Obispo St,San Juan Cpstrno,Shawn Syed,6196478083,,,Other - Private,CA,Del Obispo St,31878,Private,,31878 Del Obispo St,San Juan Cpstrno,Viktury Corp,,6196478083,CA,Del Obispo St,31878,,,,,"13,760",,,Full,,East Hollywood,4ET       ,,,Commonwealth Land Title Company,"127,684.00",This 12 unit apartment building that sold was 100% occupied at time of sale.  The property is located in the Los Feliz multi-family submarket.  The seller and buyer could not be reached for comment on this transaction.,"5,445.00",4(2 + 1) 4(2 + 1.5) ,10223,,,
903 Lakme Ave,Wilmington,CA,Multi-Family,"5,140",2 Star,"$1,450,000",282.10,4/6/2023,Sold,,6.85,,,Balubhai Patel Separate Property Trust,,Local,Keller Williams Realty,M.D. Miguelez | 1998 Miguelez Family Trust,,National,"BRC Advisors -  BH, Inc.",Apartments,C,1923,24,0.20,8636,2,,LAR3,Wilmington,Suburban,Los Angeles,United States,North America,Americas,90744,,,"7,313,802.69",167.90,,3.7,,"60,417",4/6/2023,4/12/2023,,Confirmed,Research Complete,,100,No,No,,,"64,425","33,930","98,355",2022,,,Adequate,,,,,255 S Reno St,Los Angeles,Balubhai Patel,2133862286,,S,Trust,CA,Reno St,255,Private,90057,,,,,,,,,,,,"700 S Flower St, 2900",Julian,Bloch,Los Angeles,2137977000,CA,Flower St,700,,S,90017-4101,,6361369,,,,0.297591891049409,,,0219116,,,06037,,,,,,Yes,B and X,0.60,,,,,,<1 Month,,,,65.50,,,,33.7815227,,"9100 Wilshire Blvd, 880W",John,Katnik,Beverly Hills,3105253700,CA,Wilshire Blvd,9100,,,90212-3415,,-118.2597119,,,,,Los Angeles,,,"99,325",0,1,0,,0,18,,23,,,,,7423-010-013,7423-010-013,,2.53,100.00%,,Wilmington,Los Angeles,,CA,90744,,,,,282.10,,Lakme Ave,903,,,8442755,,,,,,Investment,Independent,,,,,1821 Via Visalia,Palos Verdes Peninsula,Miguel Miguelez,3103754944,,,Individual,CA,Via Visalia,1821,Private,90274,,,1998 Miguelez Family Trust,,,,,,,,,,"5,140",,,,,Long Beach/Ports,6FC       ,,,,,"On 6/6/23, the 5,140 square feet multi-family building at 903 Lakme Ave was sold for $1,450,000. This 24-unit class C multi-family building was built in 1923. The zoning is LAR3.
The details of this transaction were verified with the buyer, seller, and the listing broker.
",,1(2 + 1) ,2570,,,
5616 Lexington Ave,Los Angeles,CA,Multi-Family,"13,842",2 Star,"$5,200,000",375.67,4/5/2023,Sold,,,6.60,Hollywood East,Yaacov Brenenson,,National,Keller Williams Realty,SulmeyerKupetz,,Local,Hilco Real Estate,Apartments,C,1926,39,0.17,7492,3,,"R3, Los Angeles",Hollywood,Urban,Los Angeles,United States,North America,Americas,90038,,,"30,233,849.44",694.07,,4.8,,"133,333",3/30/2023,4/5/2023,,Confirmed,Research Complete,,97,No,No,Gated,,"1,213,359","2,814,336","4,027,695",2022,346,,Adequate,Masonry,,,,405 Science Dr,Moorpark,Yaacov Brenenson,3237701515,,,Individual,CA,Science Dr,405,Private,93021-2247,"405 Science Dr, 290",Moorpark,Davie Properties Llc,,,CA,Science Dr,405,,,93021-2247,"700 S Flower St, 2900",Yitzy,Davis,Los Angeles,2137977000,CA,Flower St,700,,S,90017-4101,,6354221,,,Masonry,0.627842911141008,,20 bachelors and 20 singles.,0202850,,,06037,,,,,,Yes,B and X,1.85,,,,,,94 Months,,,,30.13,,,,34.0925059,,219 E 69th St,Jonathan,Cuticelli,New York,2035618737,NY,69th St,219,,E,10021,,-118.3115824,,,,,Los Angeles,78,,,0,0,0,,0,40,,117,,,,,5536-007-005,5536-007-005,,2.89,,,Los Angeles,Los Angeles,,CA,90038,,,,,375.67,,Lexington Ave,5616,,,6070433,,,,,Bankruptcy Sale,Investment,Independent,,,,,"333 S Hope St, 3500",Los Angeles,Howard Ehrenberg,2136262311,,S,Other - Private,CA,Hope St,333,Private,90071,,Durham,William Holdings LLC,,,NC,,,,,27704,,"13,842",,,,117(0 + 1) ,Hollywood,2ET       ,,,,,"On April 5, 2023 this 39 unit multifamily property located at 5616 Lexington Ave  in Los Angeles, CA was sold. The property was purchased for $5,200,000 or approximately $133,333 per unit. The seller was represented by Hilco Real Estate. The buyer was represented by Keller Williams Realty. All information included in this comparable was confirmed by the listing broker and buyer broker.",,,4704,,,
847 19th St,Santa Monica,CA,Multi-Family,"4,849",2 Star,"$2,712,000",559.29,4/5/2023,Sold,"3,100,000",3.83,,,Joann Shafer,,Local,Roque & Mark Company,Zina Markevicius,,Local,Roque & Mark Company,Apartments,C,1923,5,0.18,7841,2,,SMR2*,Wilshire Montana,Urban,Los Angeles,United States,North America,Americas,90403,,,"15,066,282.36",345.87,,6.6,,"542,400",4/5/2023,4/6/2023,,Confirmed,Research Complete,,100,No,No,,,"401,497","574,163","975,660",2022,825,,Good,Wood Frame,2022 Tax @ $7440.00/Unit; 2022 Ops @ $3757.00/Unit,,2022 Tax @ $7440.00/Unit; 2022 Ops @ $3757.00/Unit,"1250 6th St, 303",Santa Monica,Joann Shafer,3103952663,,,Individual,CA,6th St,1250,Private,90401-1633,,,629 Palisades Llc,,,,,,,,,2802 Santa Monica Blvd,David,Schuchman,Santa Monica,3108287525,CA,Santa Monica Blvd,2802,,,90404-2410,,6355883,,,Wood Frame,0.309279665340271,,,0215685,,None,06037,,,,,,Yes,B and X,0.62,,,17.5,,,20+ Years,,,,41.15,,,,34.035167,,2802 Santa Monica Blvd,David,Schuchman,Santa Monica,3108287525,CA,Santa Monica Blvd,2802,,,90404-2410,None,-118.4891257,,,,,Los Angeles,197,,,0,0,0,,0,8,,5,,,,,4277-006-022,4277-006-022,,1.65,,,Santa Monica,Los Angeles,,CA,90403,,,,,559.29,,19th St,847,,,9036753,,,,,,Investment,Independent,,,,,817 Yale St,Santa Monica,Zina Markevicius,3108294757,,,Individual,CA,Yale St,817,Private,90403,2802 Santa Monica Blvd,Santa Monica,Markevicius Zina,,3103950410,CA,Santa Monica Blvd,2802,,,90404-2410,,"4,849",,,,,Santa Monica,5FT       ,,,,,"On 4/5/2023, this property was transferred from Zina Markevicius to 629 Palisades LLC in an investment sale.
 		
At the time of sale, the property had an assessed value of $975,660 and the buyer purchased it for $2,712,000.
  
Information in this report was verified by the listing broker and public record.
",,,2425,,,
1251 S Wilton Pl,Los Angeles,CA,Multi-Family,"5,634",2 Star,"$2,058,000",365.28,4/5/2023,Sold,,4.56,,,Ivy Realty,,Local,Ivy Realty,Jaclyn & Bok S Kim,,Local,RE/MAX Commercial & Investment Realty,Apartments,C,1934,8,0.24,10502,2,,"C2, Los Angeles",Arlington Heights,Urban,Los Angeles,United States,North America,Americas,90019,,633-G4,"8,536,134.07",195.96,,3.9,,"257,250",4/5/2023,4/5/2023,,Confirmed,Research Complete - Correction,,89,No,No,,,"248,382","395,783","644,165",2022,,,Adequate,Masonry,,,,611 S Wilton Pl,Los Angeles,Young Sun Chang,2133868888,,S,Investment Manager,CA,Wilton                    Pl,611,Institutional,90005-3220,,,,,,,,,,,,611 S Wilton Pl,Young Sun,Chang,Los Angeles,2133868888,CA,Wilton                    Pl,611,,S,90005-3220,,6355404,,,Masonry,0.268226551172141,,"On April 5th, 2023 the 5,634 square foot Class C, Office building on 0.24 acres located at 1251 S Wilton P,  sold for $2,058,000. The buyer used a broker at Remax Commercial & Investment Realty, Mr. Stephen Lampe, to help with this acquisition. The selling party, listed under the Chang Family Trust, was represented by Young Sun Chang, of Ivy Realty, who also represented herself and husband in this deal, for an investment deal. The property was built in 1934. The property includes 7 parking spaces. The zoning on the property is C2. Mr. Stephens admin assistant, sent over the information to provide for this comparable and provided clarification on the true seller.

Property Description: Multi Family   -  8 Units",0217066,,,06037,,,,,,Yes,B and X,0.54,,,,,,20+ Years,,,,38.56,,,,34.0475542,,450 Silver Spur Rd,Stephen,Lampe,Rolling Hills Estates,3108022500,CA,Silver Spur Rd,450,,,90274,,-118.3147834,70.000x150.000,633,G,4,Los Angeles,,,,0,0,0,,0,7,,8,,,,,5081-023-011,5081-023-011,,1.24,,,Los Angeles,Los Angeles,,CA,90019,,,,,365.28,,Wilton Pl,1251,,S,4416422,,,,,1031 Exchange,Investment,Independent,,,,,3115 Montrose Ave,La Crescenta,Jaclyn Kim,,,,Individual,CA,Montrose Ave,3115     ,Private,91214,3115 Montrose Ave,La Crescenta,Jaclyn & Bok S Kim,,,CA,Montrose Ave,3115     ,,,91214,,"5,634",,,,,Koreatown,POB       ,,,,,"On April 5th, 2023 the 5,634 square foot Class C, Office building on 0.24 acres located at 1251 S Wilton P,  sold for $2,058,000. The buyer used a broker at Remax Commercial & Investment Realty, Mr. Stephen Lampe, to help with this acquisition. The selling party, listed under the Chang Family Trust, was represented by Young Sun Chang, of Ivy Realty, who also represented herself and husband in this deal, for an investment deal. The property was built in 1934. The property includes 7 parking spaces. The zoning on the property is C2. Mr. Stephens admin assistant, sent over the information to provide for this comparable and provided clarification on the true seller.",,,2817,,,
126-128 N Lake St,Los Angeles,CA,Multi-Family,"3,158",2 Star,"$1,100,000",348.32,4/5/2023,Sold,,,6.60,,Eliezer Engel,,Local,Keller Williams Realty,SulmeyerKupetz,,Local,Hilco Real Estate,Apartments,C,1925,6,0.13,5475,1,,LAR4,Historic Filipinotown,Urban,Los Angeles,United States,North America,Americas,90026,,,"8,751,780.82",200.91,,3.3,,"183,333",4/4/2023,4/21/2023,,Confirmed,Research Complete,,98,No,No,,,"202,645","810,583","1,013,228",2022,,,Adequate,Masonry,,,,709 Science Dr,Moorpark,Eliezer Engel,3237701515,,,Individual,CA,Science Dr,709,Private,93021-2099,7190 W Sunset Blvd,Los Angeles,Ee & Es Properties 2 LLC,,,CA,Sunset Blvd,7190,,W,90046,"700 S Flower St, 2900",Yitzy,Davis,Los Angeles,2137977000,CA,Flower St,700,,S,90017-4101,,6370803,,,Masonry,0.576751824310948,,,0212944,,None,06037,,,,,,Yes,B and X,0.58,,,,,,64 Months,,,,20.00,,,,34.067773,,219 E 69th St,Jonathan,Cuticelli,New York,2035618737,NY,69th St,219,,E,10021,None,-118.270565,,,,,Los Angeles,,,,0,0,0,,0,6,,6,,,,,5157-020-035,5157-020-035,,1.42,100.00%,,Los Angeles,Los Angeles,,CA,90026,,,,,348.32,,Lake St,126-128,,N,6234036,,,,,,Investment,Independent,,,,,"333 S Hope St, 3500",Los Angeles,Howard Ehrenberg,2136262311,,S,Other - Private,CA,Hope St,333,Private,90071,,Durham,William Holdings LLC,,,NC,,,,,27704,,"3,158",,,,,Westlake,QE0       ,,,,,"On April 5, 2023 this 6 unit multifamily property located at 126-128 N Lake St in Los Angeles, California was sold. The property was purchased for $1,100,000 or approximately $183,333 per unit. The seller was represented by Hilco Real Estate. The buyer was represented by Keller Williams Realty. All information included in this comparable was confirmed by the listing broker and buyer broker.",,,3158,,,
167 S Normandie,Los Angeles,CA,Multi-Family,"26,736",2 Star,"$7,575,000",283.33,4/4/2023,Sold,"7,995,000",5.35,,Normandie Lofts,"Winstar Properties, LLC",,Local,,Edward Lorin,,Local,Northmarq,Apartments,C,1928,50,0.18,7841,5,,R3,Koreatown,Urban,Los Angeles,United States,North America,Americas,90004,,633-J1,"42,082,259.92",966.08,,2.2,,"151,500",3/30/2023,4/4/2023,,Confirmed,Research Complete,,95,No,No,"Laundry Facilities, Security System, Elevator",,"5,571,246","3,784,241","9,355,487",2022,,,Adequate,Masonry,2021 Tax @ $2220.14/Unit,,2021 Tax @ $2220.14/Unit,"5670 Wilshire Blvd, 1036",Los Angeles,Alan Stern,3234132220,,,Investment Manager,CA,Wilshire Blvd,5670,Institutional,90036-5679,,,,,,,,,,,,,,,,,,,,,,,,6353066,,,Masonry,0.681945719824508,,,0202449,,,06037,,"4,715,000",JPMorgan Bank NA,,Lender Name: Jpmorgan Chase Bank Na,Yes,B and X,3.41,,,10.9,,,56 Months,,,,59.55,,,,34.071786,,"10960 Wilshire Blvd, 1405",Brent,Sprenkle,Los Angeles,4244220900,CA,Wilshire Blvd,10960,,,90024-3702,,-118.30074,50.000x160.000,633,J,1,Los Angeles,382,,,10,0,0,,0,50,,40,,,10(1 + 1) ,,5518-002-013,5518-002-013,,0.00,,,Los Angeles,Los Angeles,,CA,90004,,,,,283.33,,Normandie,167,,S,1321945,,,,,Bankruptcy Sale,Investment,Independent,,,,,23901 Calabasas Rd,Calabasas,Edward Lorin,8054491551,,,Individual,CA,Calabasas Rd,23901,Private,91302-1542,"23901 Calabasas Rd, 2010",Calabasas,Normandie Lofts Ktown LLC,,,CA,Calabasas Rd,23901,,,91302-1542,,"26,736",,,,40(0 + 1) ,Koreatown,2GL       ,,,,,"On April 04, 2023, the apartment building on .18 acres located at 167 Normandie , Los Angeles, CA 90004 sold for $7,575,000. The seller was represented by Brent Sprenkle of Northmarq. The property was put on the market on March 18, 2022 and was on the market for 382 days. The buyer took out a loan of $4,715,000 to finance the acquisition.  The property was built in 1928. The property includes 50 parking spaces. The zoning on the property is R3. The sale was confirmed by the listing broker.",,,5347,244,,
